																	
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"reference afr table"
1	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	
2	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	
3	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	14.5	
4	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	
5	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	
6	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	14.7	
7	14.7	14.7	14.7	14.7	14.7	15.0	15.0	15.0	15.0	15.0	15.0	14.9	14.8	14.8	14.8	14.7	
8	14.7	14.7	14.7	14.7	14.7	15.5	15.5	15.5	15.5	15.4	15.3	15.2	15.0	14.9	14.8	14.7	
9	14.7	14.7	14.7	14.7	14.7	15.5	15.5	15.5	15.5	15.4	15.3	15.2	15.0	14.9	14.8	14.7	
10	14.7	14.7	14.7	14.7	14.7	15.5	15.5	15.5	15.5	15.4	15.3	15.2	15.0	14.9	14.8	14.7	
11	14.7	14.7	14.7	14.7	14.7	15.5	15.5	15.5	15.5	15.4	15.3	15.2	15.0	14.9	14.8	14.7	
12	14.7	14.7	14.7	14.7	14.7	15.4	15.4	15.4	15.4	15.3	15.2	15.1	15.0	14.9	14.8	14.7	
13	14.7	14.7	14.7	14.7	14.7	15.3	15.3	15.3	15.2	15.2	15.1	15.0	15.0	14.9	14.8	14.7	
14	14.7	14.7	14.7	14.7	14.7	15.2	15.2	15.2	15.2	15.1	15.0	15.0	14.9	14.8	14.8	14.7	
15	14.7	14.7	14.7	14.8	14.8	15.1	15.1	15.1	15.1	15.0	15.0	14.9	14.9	14.8	14.8	14.8	
16	14.7	14.7	14.7	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	
																	
1	0.0	0.0	0.0	14.0	13.4	13.6	14.1	14.7	14.3	13.4	13.0	13.3	13.2	12.5	0.0	0.0	"actual afr table"
2	0.0	0.0	0.0	13.7	13.5	14.0	14.0	13.8	13.7	13.4	13.4	13.5	13.3	12.6	0.0	0.0	
3	0.0	0.0	14.3	13.1	13.2	13.9	14.0	13.7	13.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	0.0	0.0	13.6	13.3	13.2	14.0	14.2	13.9	13.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	0.0	14.1	13.9	13.6	13.5	14.1	14.2	14.0	13.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	0.0	14.5	14.2	13.8	13.8	14.2	14.4	14.3	14.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	0.0	14.5	14.3	14.0	13.9	14.4	14.6	14.7	15.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	0.0	14.5	14.6	14.8	14.6	14.6	14.8	14.7	15.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	0.0	14.0	14.6	14.8	14.5	14.9	14.9	14.5	15.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	0.0	13.8	14.1	14.5	14.4	15.0	15.0	14.4	15.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
11	14.1	13.6	13.7	14.4	14.7	14.9	15.1	14.7	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
12	14.3	13.8	13.6	14.4	14.7	14.9	15.0	14.9	15.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
13	0.0	14.2	13.9	14.3	14.5	14.8	14.9	14.9	16.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
14	0.0	14.9	14.6	14.6	14.4	14.5	14.8	15.0	16.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
15	0.0	0.0	15.1	15.8	14.8	14.0	14.1	14.1	14.4	13.0	0.0	0.0	0.0	0.0	0.0	0.0	
16	0.0	0.0	0.0	0.0	14.9	14.4	14.3	13.6	14.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	
																	
1	1.00	1.00	1.00	1.00	0.96	0.97	1.01	1.05	1.02	0.96	0.93	0.95	0.94	0.89	1.00	1.00	"afr ratio table"
2	1.00	1.00	1.00	0.96	0.94	0.98	0.98	0.97	0.96	0.94	0.94	0.94	0.93	0.88	1.00	1.00	
3	1.00	1.00	0.99	0.90	0.91	0.96	0.97	0.94	0.94	1.00	1.00	1.00	1.00	1.00	1.00	1.00	
